ID,Processo,Tipo
87,Acusação de insider trading em mercado de ações.,Criminal
88,Ação de reparação por danos em acidente de construção civil.,Cível
89,Julgamento de negligência médica em cirurgia de emergência.,Cível
90,Funcionário processa empresa por discriminação religiosa.,Trabalhista
91,Investigação de fraude em esquema de pirâmide financeira.,Criminal
92,Disputa por direitos autorais em obra cinematográfica.,Cível
93,Investigação de fraude em licitação de obras públicas.,Criminal
94,Funcionário alega demissão após sofrer assédio moral.,Trabalhista
95,Processo de regulamentação de pensão alimentícia.,Cível
96,Caso de cyberbullying e difamação em ambiente escolar.,Cível
97,Acusação de fraude em transações imobiliárias.,Criminal
98,Ação de reparação por danos causados por produto defeituoso.,Cível
99,Julgamento de negligência médica em cirurgia plástica.,Cível
100,Funcionário processa empresa por discriminação por orientação sexual.,Trabalhista
101,Investigação de fraude em esquema de investimentos.,Criminal
102,Ação de despejo de inquilino por falta de pagamento.,Cível
103,Disputa entre herdeiros por partilha de herança.,Cível
104,Processo de adoção por casal homossexual.,Cível
105,Investigação de lavagem de dinheiro em operações internacionais.,Criminal
106,Ação de indenização por lesões em acidente de trânsito.,Cível
107,Caso de plágio musical e violação de direitos autorais.,Cível
108,Acusação de fraude em documentos fiscais.,Criminal
109,Ação de reparação por danos causados por incêndio.,Cível
110,Julgamento de erro médico em cirurgia de emergência.,Cível
111,Funcionário processa empresa por demissão injusta.,Trabalhista
112,Investigação de fraude em esquema de lavagem de dinheiro.,Criminal
113,Processo de divórcio com partilha de bens em disputa.,Cível
114,Disputa de condomínio por problemas estruturais.,Cível
115,Processo de adoção internacional.,Cível
116,Acusação de fraude em contratos de financiamento.,Criminal
117,Ação de reparação por danos causados por acidente de trabalho.,Cível
118,Julgamento de violência doméstica e pedido de medida protetiva.,Criminal
119,Disputa sobre propriedade de terreno após desapropriação.,Cível
120,Funcionário alega retaliação por denunciar práticas ilegais.,Trabalhista
121,Investigação de esquema de fraude em aposentadorias.,Criminal
122,Disputa de propriedade intelectual entre empresas de tecnologia.,Cível
123,Investigação de fraude em licitação para obras rodoviárias.,Criminal
124,Funcionário alega demissão após acidente de trabalho não relatado.,Trabalhista
125,Processo de regulamentação de pensão alimentícia em caso de divórcio.,Cível
126,Caso de invasão de privacidade e vazamento de informações pessoais.,Cível
127,Acusação de lavagem de dinheiro em transações bancárias.,Criminal
128,Ação de reparação por danos causados por produto defeituoso.,Cível
129,Julgamento de negligência médica em cirurgia de emergência.,Cível
130,Funcionário processa empresa por discriminação por orientação religiosa.,Trabalhista
131,Investigação de fraude em esquema de pirâmide financeira.,Criminal
132,Ação de despejo de inquilino por falta de pagamento de aluguel.,Cível
133,Disputa por herança entre familiares.,Cível
134,Processo de adoção por solteiro.,Cível
135,Investigação de sonegação de impostos em empresa multinacional.,Criminal
136,Ação de indenização por lesões causadas por produto defeituoso.,Cível
137,Caso de plágio em software e infração de direitos autorais.,Cível
138,Acusação de fraude em contratos de construção civil.,Criminal
139,Ação de reparação por danos causados por desmoronamento.,Cível
140,Julgamento de erro médico em cirurgia cardíaca.,Cível
141,Funcionário processa empresa por discriminação racial.,Trabalhista
142,Investigação de fraude em esquema de investimentos.,Criminal
143,Processo de partilha de bens em divórcio amigável.,Cível
144,Disputa entre vizinhos por limites de propriedade.,Cível
145,Processo de adoção por casal heterossexual.,Cível
146,Acusação de fraude em transações comerciais.,Criminal
147,Ação de reparação por danos causados por acidente automobilístico.,Cível
148,Julgamento de caso de difamação e injúria em ambiente virtual.,Criminal
149,Disputa sobre desapropriação de terreno para obras públicas.,Cível
150,Funcionário processa empresa por assédio moral.,Trabalhista
151,Investigação de esquema de lavagem de dinheiro em empresas de fachada.,Criminal
152,Ação de indenização por danos causados por acidente de trânsito.,Cível
153,Caso de plágio em obra literária.,Cível
154,Acusação de fraude em contratos de financiamento imobiliário.,Criminal
155,Ação de reparação por danos causados por incêndio em edifício.,Cível
156,Julgamento de negligência médica em cirurgia de emergência.,Cível
157,Disputa entre sócios por dissolução de empresa.,Cível
158,Processo de adoção de criança abandonada.,Cível
159,Investigação de fraude em esquema de corrupção em órgão público.,Criminal
160,Ação de indenização por acidente de trabalho com sequelas.,Cível
161,Caso de plágio musical e violação de direitos autorais.,Cível
162,Acusação de fraude em licitação para obras de infraestrutura.,Criminal
163,Ação de reparação por danos causados por rompimento de barragem.,Cível
164,Julgamento de erro médico em cirurgia de emergência.,Cível
165,Processo de adoção por casal homoafetivo.,Cível
166,Investigação de fraude em esquema de pirâmide financeira.,Criminal
167,Disputa por propriedade de terreno em área rural.,Cível
168,Processo de divisão de bens em divórcio consensual.,Cível
169,Funcionário alega retaliação após denunciar irregularidades.,Trabalhista
170,Investigação de lavagem de dinheiro em transações comerciais.,Criminal
171,Ação de indenização por danos morais em acidente de trânsito.,Cível
172,Caso de plágio em obra artística.,Cível
173,Acusação de fraude em contratos de prestação de serviços.,Criminal
174,Ação de reparação por danos causados por vazamento de produtos químicos.,Cível
175,Julgamento de negligência médica em cirurgia de emergência.,Cível
176,Disputa de propriedade de imóvel após falecimento do proprietário.,Cível
